TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Summer 2013,CD,110,6,Central Harlem (CD10),10.5,11.0,10.7
Summer 2013,CD,111,6,East Harlem (CD11),10.6,11.3,10.9
Summer 2013,CD,112,6,Washington Heights and Inwood (CD12),9.8,11.4,10.5
Summer 2013,CD,201,6,Mott Haven and Melrose (CD1),10.6,12.0,11.2
Summer 2013,CD,202,6,Hunts Point and Longwood (CD2),9.8,12.3,11.1
Summer 2013,CD,203,6,Morrisania and Crotona (CD3),10.3,11.0,10.6
Summer 2013,CD,204,6,Highbridge and Concourse (CD4),10.7,11.5,11.1
Summer 2013,CD,205,6,Fordham and University Heights (CD5),10.7,11.8,11.1
Summer 2013,CD,206,6,Belmont and East Tremont (CD6),10.2,11.4,10.7
Summer 2013,CD,207,6,Kingsbridge Heights and Bedford (CD7),10.3,11.0,10.6
Summer 2013,CD,208,6,Riverdale and Fieldston (CD8),9.5,10.8,10.0
Summer 2013,CD,209,6,Parkchester and Soundview (CD9),9.5,11.1,10.4
Summer 2013,CD,210,6,Throgs Neck and Co-op City (CD10),9.5,11.2,10.2
Summer 2013,CD,211,6,Morris Park and Bronxdale (CD11),9.8,10.4,10.1
Summer 2013,CD,212,6,Williamsbridge and Baychester (CD12),9.7,10.7,10.1
Summer 2013,CD,301,6,Greenpoint and Williamsburg (CD1),10.9,12.6,11.6
Summer 2013,CD,302,6,Fort Greene and Brooklyn Heights (CD2),10.4,11.7,11.0
Summer 2013,CD,303,6,Bedford Stuyvesant (CD3),10.0,10.9,10.4
Summer 2013,CD,304,6,Bushwick (CD4),9.8,11.5,10.4
Summer 2013,CD,305,6,East New York and Starrett City (CD5),9.6,11.5,10.3
Summer 2013,CD,306,6,Park Slope and Carroll Gardens (CD6),10.1,11.8,10.9
Summer 2013,CD,307,6,Sunset Park (CD7),9.8,11.7,10.7
Summer 2013,CD,308,6,Crown Heights and Prospect Heights (CD8),10.1,10.6,10.3
Summer 2013,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),10.0,10.3,10.2
Summer 2013,CD,310,6,Bay Ridge and Dyker Heights (CD10),9.4,10.6,9.9
Summer 2013,CD,311,6,Bensonhurst (CD11),9.6,10.0,9.8
Summer 2013,CD,312,6,Borough Park (CD12),9.8,10.2,10.0
Summer 2013,CD,313,6,Coney Island (CD13),9.3,10.0,9.6
Summer 2013,CD,314,6,Flatbush and Midwood (CD14),9.8,10.4,10.1
Summer 2013,CD,315,6,Sheepshead Bay (CD15),9.4,10.1,9.8
Summer 2013,CD,316,6,Brownsville (CD16),10.0,11.4,10.4
Summer 2013,CD,317,6,East Flatbush (CD17),9.9,10.8,10.3
Summer 2013,CD,318,6,Flatlands and Canarsie (CD18),9.3,10.6,9.8
Summer 2013,CD,401,6,Long Island City and Astoria (CD1),9.4,11.1,10.3
Summer 2013,CD,402,6,Woodside and Sunnyside (CD2),10.5,12.9,11.6
Summer 2013,CD,403,6,Jackson Heights (CD3),9.6,10.3,10.0
Summer 2013,CD,404,6,Elmhurst and Corona (CD4),10.0,11.0,10.5
Summer 2013,CD,405,6,Ridgewood and Maspeth (CD5),9.6,11.9,10.4
Summer 2013,CD,406,6,Rego Park and Forest Hills (CD6),9.9,11.0,10.3
Summer 2013,CD,407,6,Flushing and Whitestone (CD7),9.6,10.9,10.1
Summer 2013,CD,408,6,Hillcrest and Fresh Meadows (CD8),9.7,10.4,10.0
Summer 2013,CD,409,6,Kew Gardens and Woodhaven (CD9),9.7,10.6,10.1
Summer 2013,CD,410,6,South Ozone Park and Howard Beach (CD10),9.4,10.2,9.7
Summer 2013,CD,411,6,Bayside and Little Neck (CD11),9.5,10.6,9.9
Summer 2013,CD,412,6,Jamaica and Hollis (CD12),9.7,10.6,10.1
Summer 2013,CD,413,6,Queens Village (CD13),9.5,10.1,9.8
Summer 2013,CD,414,6,Rockaway and Broad Channel (CD14),9.2,9.6,9.4
Summer 2013,CD,501,6,St. George and Stapleton (CD1),9.2,9.9,9.5
Summer 2013,CD,502,6,South Beach and Willowbrook (CD2),9.0,10.1,9.4
Summer 2013,CD,503,6,Tottenville and Great Kills (CD3),8.9,9.5,9.1
Summer 2013,UHF34,101,3,Kingsbridge - Riverdale,,,10.0
Summer 2013,UHF34,102,3,Northeast Bronx,,,10.2
Summer 2013,UHF34,103,3,Fordham - Bronx Pk,,,10.3
Summer 2013,UHF34,104,3,Pelham - Throgs Neck,,,10.3
Summer 2013,UHF34,201,3,Greenpoint,,,11.5
Summer 2013,UHF34,202,3,Downtown - Heights - Slope,,,10.9
Summer 2013,UHF34,203,3,Bedford Stuyvesant - Crown Heights,,,10.3
Summer 2013,UHF34,204,3,East New York,,,10.4
Summer 2013,UHF34,205,3,Sunset Park,,,10.6
Summer 2013,UHF34,206,3,Borough Park,,,10.0
Summer 2013,UHF34,207,3,East Flatbush - Flatbush,,,10.2
Summer 2013,UHF34,208,3,Canarsie - Flatlands,,,9.8
Summer 2013,UHF34,209,3,Bensonhurst - Bay Ridge,,,9.8
Summer 2013,UHF34,210,3,Coney Island - Sheepshead Bay,,,9.7
Summer 2013,UHF34,211,3,Williamsburg - Bushwick,,,10.9
Summer 2013,UHF34,301,3,Washington Heights,,,10.5
Summer 2013,UHF34,302,3,Central Harlem - Morningside Heights,,,10.8
Summer 2013,UHF34,303,3,East Harlem,,,10.9
Summer 2013,UHF34,304,3,Upper West Side,,,11.4
Summer 2013,UHF34,401,3,Long Island City - Astoria,,,11.1
Summer 2013,UHF34,402,3,West Queens,,,10.7
Summer 2013,UHF34,403,3,Flushing - Clearview,,,10.1
Summer 2013,UHF34,405,3,Ridgewood - Forest Hills,,,10.2
Summer 2013,UHF34,407,3,Southwest Queens,,,9.9
Summer 2013,UHF34,408,3,Jamaica,,,10.1
Summer 2013,UHF34,409,3,Southeast Queens,,,9.8
Summer 2013,UHF34,410,3,Rockaways,,,9.4
Summer 2013,UHF34,305307,3,Upper East Side-Gramercy,,,13.1
Summer 2013,UHF34,306308,3,Chelsea-Village  ,,,12.9
Summer 2013,UHF34,309310,3,Union Square-Lower Manhattan,,,11.7
Summer 2013,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,,,9.9
Summer 2013,UHF34,501502,3,Northern SI,,,9.4
Summer 2013,UHF34,503504,3,Southern SI,,,9.3
Summer 2013,UHF34,105106107,3,South Bronx,,,10.9
Summer 2013,Borough,1,1,Bronx,9.7,11.3,10.4
Summer 2013,Borough,2,1,Brooklyn,9.5,11.3,10.3
Summer 2013,Borough,3,1,Manhattan,10.4,14.0,11.8
Summer 2013,Borough,4,1,Queens,9.5,10.8,10.1
Summer 2013,Borough,5,1,Staten Island,8.9,9.9,9.3
Summer 2013,Citywide,1,0,New York City,9.1,11.3,10.2
Winter 2012-13,CD,101,6,Financial District (CD1),12.2,13.2,12.8
Winter 2012-13,CD,102,6,Greenwich Village and Soho (CD2),11.7,13.2,12.7
Winter 2012-13,CD,103,6,Lower East Side and Chinatown (CD3),10.5,12.9,11.6
Winter 2012-13,CD,104,6,Clinton and Chelsea (CD4),11.7,14.9,13.3
Winter 2012-13,CD,105,6,Midtown (CD5),14.7,17.4,16.1
Winter 2012-13,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),11.8,16.0,14.0
Winter 2012-13,CD,107,6,Upper West Side (CD7),12.2,12.9,12.6
Winter 2012-13,CD,108,6,Upper East Side (CD8),11.8,14.1,13.1
Winter 2012-13,CD,109,6,Morningside Heights and Hamilton Heights (CD9),12.0,12.6,12.3
Winter 2012-13,CD,110,6,Central Harlem (CD10),11.8,12.4,12.1
Winter 2012-13,CD,111,6,East Harlem (CD11),11.6,12.3,12.0
Winter 2012-13,CD,112,6,Washington Heights and Inwood (CD12),11.3,13.1,12.1
Winter 2012-13,CD,201,6,Mott Haven and Melrose (CD1),11.7,12.9,12.3
Winter 2012-13,CD,202,6,Hunts Point and Longwood (CD2),10.3,13.1,11.9
Winter 2012-13,CD,203,6,Morrisania and Crotona (CD3),11.3,12.1,11.7
Winter 2012-13,CD,204,6,Highbridge and Concourse (CD4),12.1,12.9,12.4
Winter 2012-13,CD,205,6,Fordham and University Heights (CD5),12.1,13.2,12.5
Winter 2012-13,CD,206,6,Belmont and East Tremont (CD6),11.1,12.4,11.7
Winter 2012-13,CD,207,6,Kingsbridge Heights and Bedford (CD7),11.2,12.3,11.7
Winter 2012-13,CD,208,6,Riverdale and Fieldston (CD8),10.8,12.1,11.3
Winter 2012-13,CD,209,6,Parkchester and Soundview (CD9),9.9,11.8,10.9
Winter 2012-13,CD,210,6,Throgs Neck and Co-op City (CD10),9.2,11.4,10.3
Winter 2012-13,CD,211,6,Morris Park and Bronxdale (CD11),10.3,10.9,10.6
Winter 2012-13,CD,212,6,Williamsbridge and Baychester (CD12),10.3,11.0,10.6
Winter 2012-13,CD,301,6,Greenpoint and Williamsburg (CD1),11.0,12.6,11.7
Winter 2012-13,CD,302,6,Fort Greene and Brooklyn Heights (CD2),10.5,12.0,11.2
Winter 2012-13,CD,303,6,Bedford Stuyvesant (CD3),10.0,11.0,10.4
Winter 2012-13,CD,304,6,Bushwick (CD4),9.8,11.5,10.4
Winter 2012-13,CD,305,6,East New York and Starrett City (CD5),9.5,11.4,10.3
Winter 2012-13,CD,306,6,Park Slope and Carroll Gardens (CD6),10.2,12.0,11.0
Winter 2012-13,CD,307,6,Sunset Park (CD7),9.9,11.9,10.8
Winter 2012-13,CD,308,6,Crown Heights and Prospect Heights (CD8),10.1,10.7,10.4
Winter 2012-13,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),10.1,10.4,10.3
Winter 2012-13,CD,310,6,Bay Ridge and Dyker Heights (CD10),9.6,10.8,10.1
Winter 2012-13,CD,311,6,Bensonhurst (CD11),9.7,10.1,9.9
Winter 2012-13,CD,312,6,Borough Park (CD12),9.9,10.3,10.1
Winter 2012-13,CD,313,6,Coney Island (CD13),9.3,10.0,9.7
Winter 2012-13,CD,314,6,Flatbush and Midwood (CD14),9.9,10.6,10.2
Winter 2012-13,CD,315,6,Sheepshead Bay (CD15),9.4,10.2,9.8
Winter 2012-13,CD,316,6,Brownsville (CD16),10.0,11.4,10.4
Winter 2012-13,CD,317,6,East Flatbush (CD17),9.9,10.8,10.3
Winter 2012-13,CD,318,6,Flatlands and Canarsie (CD18),9.3,10.6,9.8
Winter 2012-13,CD,401,6,Long Island City and Astoria (CD1),9.9,11.4,10.8
Winter 2012-13,CD,402,6,Woodside and Sunnyside (CD2),10.6,13.1,11.7
Winter 2012-13,CD,403,6,Jackson Heights (CD3),9.7,10.5,10.1
Winter 2012-13,CD,404,6,Elmhurst and Corona (CD4),10.0,11.0,10.4
Winter 2012-13,CD,405,6,Ridgewood and Maspeth (CD5),9.5,11.9,10.3
Winter 2012-13,CD,406,6,Rego Park and Forest Hills (CD6),9.7,11.0,10.2
Winter 2012-13,CD,407,6,Flushing and Whitestone (CD7),9.3,10.9,9.9
Winter 2012-13,CD,408,6,Hillcrest and Fresh Meadows (CD8),9.3,10.1,9.7
Winter 2012-13,CD,409,6,Kew Gardens and Woodhaven (CD9),9.6,10.5,9.9
Winter 2012-13,CD,410,6,South Ozone Park and Howard Beach (CD10),9.3,10.1,9.6
Winter 2012-13,CD,411,6,Bayside and Little Neck (CD11),8.9,10.1,9.4
Winter 2012-13,CD,412,6,Jamaica and Hollis (CD12),9.3,10.3,9.8
Winter 2012-13,CD,413,6,Queens Village (CD13),8.9,9.8,9.3
Winter 2012-13,CD,414,6,Rockaway and Broad Channel (CD14),9.1,9.4,9.2
Winter 2012-13,CD,501,6,St. George and Stapleton (CD1),9.5,10.4,9.8
Winter 2012-13,CD,502,6,South Beach and Willowbrook (CD2),9.2,10.6,9.8
Winter 2012-13,CD,503,6,Tottenville and Great Kills (CD3),9.3,10.1,9.6
Winter 2012-13,UHF34,101,3,Kingsbridge - Riverdale,,,11.3
Winter 2012-13,UHF34,102,3,Northeast Bronx,,,10.6
Winter 2012-13,UHF34,103,3,Fordham - Bronx Pk,,,11.3
Winter 2012-13,UHF34,104,3,Pelham - Throgs Neck,,,10.5
Winter 2012-13,UHF34,201,3,Greenpoint,,,11.6
Winter 2012-13,UHF34,202,3,Downtown - Heights - Slope,,,11.1
Winter 2012-13,UHF34,203,3,Bedford Stuyvesant - Crown Heights,,,10.3
Winter 2012-13,UHF34,204,3,East New York,,,10.3
Winter 2012-13,UHF34,205,3,Sunset Park,,,10.8
Winter 2012-13,UHF34,206,3,Borough Park,,,10.1
Winter 2012-13,UHF34,207,3,East Flatbush - Flatbush,,,10.2
Winter 2012-13,UHF34,208,3,Canarsie - Flatlands,,,9.8
Winter 2012-13,UHF34,209,3,Bensonhurst - Bay Ridge,,,9.9
Winter 2012-13,UHF34,210,3,Coney Island - Sheepshead Bay,,,9.8
Winter 2012-13,UHF34,211,3,Williamsburg - Bushwick,,,10.9
Winter 2012-13,UHF34,301,3,Washington Heights,,,12.1
Winter 2012-13,UHF34,302,3,Central Harlem - Morningside Heights,,,12.2
Winter 2012-13,UHF34,303,3,East Harlem,,,12.0
Winter 2012-13,UHF34,304,3,Upper West Side,,,12.6
Winter 2012-13,UHF34,401,3,Long Island City - Astoria,,,11.4
Winter 2012-13,UHF34,402,3,West Queens,,,10.8
Winter 2012-13,UHF34,403,3,Flushing - Clearview,,,9.9
Winter 2012-13,UHF34,405,3,Ridgewood - Forest Hills,,,10.1
Winter 2012-13,UHF34,407,3,Southwest Queens,,,9.7
Winter 2012-13,UHF34,408,3,Jamaica,,,9.8
Winter 2012-13,UHF34,409,3,Southeast Queens,,,9.3
Winter 2012-13,UHF34,410,3,Rockaways,,,9.2
Winter 2012-13,UHF34,305307,3,Upper East Side-Gramercy,,,14.0
Winter 2012-13,UHF34,306308,3,Chelsea-Village  ,,,13.7
Winter 2012-13,UHF34,309310,3,Union Square-Lower Manhattan,,,12.1
Winter 2012-13,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,,,9.5
Winter 2012-13,UHF34,501502,3,Northern SI,,,9.7
Winter 2012-13,UHF34,503504,3,Southern SI,,,9.7
Winter 2012-13,UHF34,105106107,3,South Bronx,,,12.0
Winter 2012-13,Borough,1,1,Bronx,10.1,12.4,11.2
Winter 2012-13,Borough,2,1,Brooklyn,9.5,11.5,10.3
Winter 2012-13,Borough,3,1,Manhattan,11.6,14.9,12.8
Winter 2012-13,Borough,4,1,Queens,9.1,10.9,9.9
Winter 2012-13,Borough,5,1,Staten Island,9.3,10.3,9.7
Winter 2012-13,Citywide,1,0,New York City,9.3,12.1,10.3
Annual Average 2012,CD,101,6,Financial District (CD1),10.7,11.8,11.3
Annual Average 2012,CD,102,6,Greenwich Village and Soho (CD2),10.0,11.6,11.0
Annual Average 2012,CD,103,6,Lower East Side and Chinatown (CD3),9.0,11.4,10.1
Annual Average 2012,CD,104,6,Clinton and Chelsea (CD4),9.8,13.0,11.4
Annual Average 2012,CD,105,6,Midtown (CD5),12.9,15.5,14.2
Annual Average 2012,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),10.2,14.2,12.3
Annual Average 2012,CD,107,6,Upper West Side (CD7),10.0,10.7,10.4
Annual Average 2012,CD,108,6,Upper East Side (CD8),10.0,12.2,11.2
Annual Average 2012,CD,109,6,Morningside Heights and Hamilton Heights (CD9),9.7,10.4,10.0
Annual Average 2012,CD,110,6,Central Harlem (CD10),9.7,10.2,9.9
Annual Average 2012,CD,111,6,East Harlem (CD11),9.6,10.3,10.0
Annual Average 2012,CD,112,6,Washington Heights and Inwood (CD12),9.2,10.8,9.9
Annual Average 2012,CD,201,6,Mott Haven and Melrose (CD1),9.8,11.1,10.4
Annual Average 2012,CD,202,6,Hunts Point and Longwood (CD2),8.8,11.4,10.2
Annual Average 2012,CD,203,6,Morrisania and Crotona (CD3),9.5,10.3,9.9
Annual Average 2012,CD,204,6,Highbridge and Concourse (CD4),10.1,10.9,10.4
Annual Average 2012,CD,205,6,Fordham and University Heights (CD5),10.1,11.1,10.5
Annual Average 2012,CD,206,6,Belmont and East Tremont (CD6),9.4,10.6,9.9
Annual Average 2012,CD,207,6,Kingsbridge Heights and Bedford (CD7),9.4,10.3,9.8
Annual Average 2012,CD,208,6,Riverdale and Fieldston (CD8),8.7,10.1,9.3
Annual Average 2012,CD,209,6,Parkchester and Soundview (CD9),8.6,10.2,9.4
Annual Average 2012,CD,210,6,Throgs Neck and Co-op City (CD10),8.3,10.1,9.1
Annual Average 2012,CD,211,6,Morris Park and Bronxdale (CD11),8.8,9.4,9.2
Annual Average 2012,CD,212,6,Williamsbridge and Baychester (CD12),8.7,9.6,9.0
Annual Average 2012,CD,301,6,Greenpoint and Williamsburg (CD1),9.6,11.3,10.4
Annual Average 2012,CD,302,6,Fort Greene and Brooklyn Heights (CD2),9.3,10.7,9.9
Annual Average 2012,CD,303,6,Bedford Stuyvesant (CD3),8.8,9.7,9.2
Annual Average 2012,CD,304,6,Bushwick (CD4),8.5,10.2,9.2
Annual Average 2012,CD,305,6,East New York and Starrett City (CD5),8.1,10.0,8.9
Annual Average 2012,CD,306,6,Park Slope and Carroll Gardens (CD6),9.0,10.8,9.9
Annual Average 2012,CD,307,6,Sunset Park (CD7),8.7,10.7,9.7
Annual Average 2012,CD,308,6,Crown Heights and Prospect Heights (CD8),8.9,9.5,9.2
Annual Average 2012,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),8.8,9.2,9.1
Annual Average 2012,CD,310,6,Bay Ridge and Dyker Heights (CD10),8.3,9.5,8.8
Annual Average 2012,CD,311,6,Bensonhurst (CD11),8.4,8.8,8.6
Annual Average 2012,CD,312,6,Borough Park (CD12),8.6,9.1,8.9
Annual Average 2012,CD,313,6,Coney Island (CD13),7.9,8.6,8.2
Annual Average 2012,CD,314,6,Flatbush and Midwood (CD14),8.6,9.4,8.9
Annual Average 2012,CD,315,6,Sheepshead Bay (CD15),7.8,8.8,8.3
Annual Average 2012,CD,316,6,Brownsville (CD16),8.7,10.1,9.1
Annual Average 2012,CD,317,6,East Flatbush (CD17),8.7,9.6,9.0
Annual Average 2012,CD,318,6,Flatlands and Canarsie (CD18),7.7,9.2,8.3
Annual Average 2012,CD,401,6,Long Island City and Astoria (CD1),8.4,9.8,9.2
Annual Average 2012,CD,402,6,Woodside and Sunnyside (CD2),9.2,11.6,10.3
Annual Average 2012,CD,403,6,Jackson Heights (CD3),8.5,9.2,8.8
Annual Average 2012,CD,404,6,Elmhurst and Corona (CD4),8.8,9.8,9.2
Annual Average 2012,CD,405,6,Ridgewood and Maspeth (CD5),8.2,10.6,9.1
Annual Average 2012,CD,406,6,Rego Park and Forest Hills (CD6),8.5,9.8,9.0
Annual Average 2012,CD,407,6,Flushing and Whitestone (CD7),8.4,9.8,8.9
Annual Average 2012,CD,408,6,Hillcrest and Fresh Meadows (CD8),8.3,9.0,8.6
Annual Average 2012,CD,409,6,Kew Gardens and Woodhaven (CD9),8.2,9.2,8.6
Annual Average 2012,CD,410,6,South Ozone Park and Howard Beach (CD10),7.7,8.6,8.1
Annual Average 2012,CD,411,6,Bayside and Little Neck (CD11),8.1,9.2,8.5
Annual Average 2012,CD,412,6,Jamaica and Hollis (CD12),8.0,9.1,8.4
Annual Average 2012,CD,413,6,Queens Village (CD13),7.7,8.4,8.0
Annual Average 2012,CD,414,6,Rockaway and Broad Channel (CD14),7.2,7.5,7.4
Annual Average 2012,CD,501,6,St. George and Stapleton (CD1),8.1,8.9,8.4
Annual Average 2012,CD,502,6,South Beach and Willowbrook (CD2),7.9,9.1,8.3
Annual Average 2012,CD,503,6,Tottenville and Great Kills (CD3),8.0,8.9,8.3
Annual Average 2012,UHF34,101,3,Kingsbridge - Riverdale,,,9.3
Annual Average 2012,UHF34,102,3,Northeast Bronx,,,9.1
Annual Average 2012,UHF34,103,3,Fordham - Bronx Pk,,,9.5
Annual Average 2012,UHF34,104,3,Pelham - Throgs Neck,,,9.2
Annual Average 2012,UHF34,201,3,Greenpoint,,,10.3
Annual Average 2012,UHF34,202,3,Downtown - Heights - Slope,,,9.9
Annual Average 2012,UHF34,203,3,Bedford Stuyvesant - Crown Heights,,,9.1
Annual Average 2012,UHF34,204,3,East New York,,,8.9
Annual Average 2012,UHF34,205,3,Sunset Park,,,9.6
Annual Average 2012,UHF34,206,3,Borough Park,,,8.9
Annual Average 2012,UHF34,207,3,East Flatbush - Flatbush,,,9.0
Annual Average 2012,UHF34,208,3,Canarsie - Flatlands,,,8.4
Annual Average 2012,UHF34,209,3,Bensonhurst - Bay Ridge,,,8.6
Annual Average 2012,UHF34,210,3,Coney Island - Sheepshead Bay,,,8.3
Annual Average 2012,UHF34,211,3,Williamsburg - Bushwick,,,9.7
Annual Average 2012,UHF34,301,3,Washington Heights,,,9.9
Annual Average 2012,UHF34,302,3,Central Harlem - Morningside Heights,,,10.0
Annual Average 2012,UHF34,303,3,East Harlem,,,10.0
Annual Average 2012,UHF34,304,3,Upper West Side,,,10.5
Annual Average 2012,UHF34,401,3,Long Island City - Astoria,,,9.8
Annual Average 2012,UHF34,402,3,West Queens,,,9.5
Annual Average 2012,UHF34,403,3,Flushing - Clearview,,,8.9
Annual Average 2012,UHF34,405,3,Ridgewood - Forest Hills,,,8.8
Annual Average 2012,UHF34,407,3,Southwest Queens,,,8.3
Annual Average 2012,UHF34,408,3,Jamaica,,,8.5
Annual Average 2012,UHF34,409,3,Southeast Queens,,,8.0
Annual Average 2012,UHF34,410,3,Rockaways,,,7.4
Annual Average 2012,UHF34,305307,3,Upper East Side-Gramercy,,,12.1
Annual Average 2012,UHF34,306308,3,Chelsea-Village  ,,,11.9
Annual Average 2012,UHF34,309310,3,Union Square-Lower Manhattan,,,10.7
Annual Average 2012,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,,,8.6
Annual Average 2012,UHF34,501502,3,Northern SI,,,8.3
Annual Average 2012,UHF34,503504,3,Southern SI,,,8.4
Annual Average 2012,UHF34,105106107,3,South Bronx,,,10.2
Annual Average 2012,Borough,1,1,Bronx,8.7,10.5,9.5
Annual Average 2012,Borough,2,1,Brooklyn,8.1,10.2,9.0
Annual Average 2012,Borough,3,1,Manhattan,9.6,13.1,10.9
Annual Average 2012,Borough,4,1,Queens,7.7,9.5,8.6
Annual Average 2012,Borough,5,1,Staten Island,7.9,8.9,8.3
Annual Average 2012,Citywide,1,0,New York City,8.0,10.3,8.9
Summer 2012,CD,101,6,Financial District (CD1),11.8,12.6,12.2
Summer 2012,CD,102,6,Greenwich Village and Soho (CD2),11.3,12.6,12.2
Summer 2012,CD,103,6,Lower East Side and Chinatown (CD3),10.4,12.4,11.3
Summer 2012,CD,104,6,Clinton and Chelsea (CD4),11.1,13.9,12.5
Summer 2012,CD,105,6,Midtown (CD5),13.7,15.9,14.8
Summer 2012,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),11.5,14.8,13.2
Summer 2012,CD,107,6,Upper West Side (CD7),11.1,11.7,11.4
Summer 2012,CD,108,6,Upper East Side (CD8),11.1,13.0,12.2
Summer 2012,CD,109,6,Morningside Heights and Hamilton Heights (CD9),10.6,11.2,10.9
Summer 2012,CD,110,6,Central Harlem (CD10),10.6,11.1,10.8
Summer 2012,CD,111,6,East Harlem (CD11),10.7,11.4,11.0
Summer 2012,CD,112,6,Washington Heights and Inwood (CD12),10.0,11.5,10.6
Summer 2012,CD,201,6,Mott Haven and Melrose (CD1),10.7,12.2,11.3
Summer 2012,CD,202,6,Hunts Point and Longwood (CD2),9.9,12.4,11.2
Summer 2012,CD,203,6,Morrisania and Crotona (CD3),10.4,11.1,10.7
Summer 2012,CD,204,6,Highbridge and Concourse (CD4),10.8,11.6,11.1
Summer 2012,CD,205,6,Fordham and University Heights (CD5),10.8,11.8,11.2
Summer 2012,CD,206,6,Belmont and East Tremont (CD6),10.2,11.5,10.8
Summer 2012,CD,207,6,Kingsbridge Heights and Bedford (CD7),10.3,11.0,10.6
Summer 2012,CD,208,6,Riverdale and Fieldston (CD8),9.7,10.9,10.1
Summer 2012,CD,209,6,Parkchester and Soundview (CD9),9.6,11.2,10.4
Summer 2012,CD,210,6,Throgs Neck and Co-op City (CD10),9.5,11.2,10.3
Summer 2012,CD,211,6,Morris Park and Bronxdale (CD11),9.9,10.4,10.2
Summer 2012,CD,212,6,Williamsbridge and Baychester (CD12),9.8,10.8,10.1
Summer 2012,CD,301,6,Greenpoint and Williamsburg (CD1),11.0,12.8,11.8
Summer 2012,CD,302,6,Fort Greene and Brooklyn Heights (CD2),10.6,11.9,11.1
Summer 2012,CD,303,6,Bedford Stuyvesant (CD3),10.0,11.0,10.5
Summer 2012,CD,304,6,Bushwick (CD4),9.9,11.6,10.5
Summer 2012,CD,305,6,East New York and Starrett City (CD5),9.6,11.5,10.4
Summer 2012,CD,306,6,Park Slope and Carroll Gardens (CD6),10.3,12.1,11.1
Summer 2012,CD,307,6,Sunset Park (CD7),10.0,11.9,10.9
Summer 2012,CD,308,6,Crown Heights and Prospect Heights (CD8),10.2,10.7,10.4
Summer 2012,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),10.1,10.4,10.3
Summer 2012,CD,310,6,Bay Ridge and Dyker Heights (CD10),9.8,10.9,10.2
Summer 2012,CD,311,6,Bensonhurst (CD11),9.8,10.2,10.0
Summer 2012,CD,312,6,Borough Park (CD12),10.0,10.4,10.2
Summer 2012,CD,313,6,Coney Island (CD13),9.6,10.1,9.9
Summer 2012,CD,314,6,Flatbush and Midwood (CD14),10.0,10.6,10.2
Summer 2012,CD,315,6,Sheepshead Bay (CD15),9.6,10.2,9.9
Summer 2012,CD,316,6,Brownsville (CD16),10.0,11.5,10.5
Summer 2012,CD,317,6,East Flatbush (CD17),10.0,10.8,10.4
Summer 2012,CD,318,6,Flatlands and Canarsie (CD18),9.5,10.7,9.9
Summer 2012,CD,401,6,Long Island City and Astoria (CD1),9.5,11.2,10.5
Summer 2012,CD,402,6,Woodside and Sunnyside (CD2),10.6,13.0,11.7
Summer 2012,CD,403,6,Jackson Heights (CD3),9.7,10.4,10.0
Summer 2012,CD,404,6,Elmhurst and Corona (CD4),10.0,11.0,10.5
Summer 2012,CD,405,6,Ridgewood and Maspeth (CD5),9.6,12.0,10.5
Summer 2012,CD,406,6,Rego Park and Forest Hills (CD6),9.8,11.0,10.3
Summer 2012,CD,407,6,Flushing and Whitestone (CD7),9.6,11.0,10.1
Summer 2012,CD,408,6,Hillcrest and Fresh Meadows (CD8),9.6,10.3,9.9
Summer 2012,CD,409,6,Kew Gardens and Woodhaven (CD9),9.7,10.6,10.1
Summer 2012,CD,410,6,South Ozone Park and Howard Beach (CD10),9.4,10.2,9.7
Summer 2012,CD,411,6,Bayside and Little Neck (CD11),9.4,10.5,9.8
Summer 2012,CD,412,6,Jamaica and Hollis (CD12),9.6,10.5,10.0
Summer 2012,CD,413,6,Queens Village (CD13),9.4,10.0,9.6
Summer 2012,CD,414,6,Rockaway and Broad Channel (CD14),9.3,9.5,9.4
Summer 2012,CD,501,6,St. George and Stapleton (CD1),9.7,10.4,10.0
Summer 2012,CD,502,6,South Beach and Willowbrook (CD2),9.5,10.7,10.0
Summer 2012,CD,503,6,Tottenville and Great Kills (CD3),9.6,10.2,9.8
Summer 2012,UHF34,101,3,Kingsbridge - Riverdale,,,10.2
Summer 2012,UHF34,102,3,Northeast Bronx,,,10.2
Summer 2012,UHF34,103,3,Fordham - Bronx Pk,,,10.3
Summer 2012,UHF34,104,3,Pelham - Throgs Neck,,,10.3
Summer 2012,UHF34,201,3,Greenpoint,,,11.7
Summer 2012,UHF34,202,3,Downtown - Heights - Slope,,,11.1
Summer 2012,UHF34,203,3,Bedford Stuyvesant - Crown Heights,,,10.4
Summer 2012,UHF34,204,3,East New York,,,10.4
